,Date,Unix,Ticker,DE Ration,Price,stock_p_change,SP500,sp500_p_change,Difference
229,2008-04-07 09:28:38,1207578518.0,intc,0.05,21.87,-3.101462117855557,1372.540039,5981.258480283563,-5984.359942401418
230,2004-06-21 11:33:42,1087835622.0,intc,0.032,27.64,22.463447053610988,1130.300049,4907.975405405406,-4885.511958351794
231,2004-02-13 06:29:41,1076675381.0,intc,0.031,30.74,36.19849357554274,1145.810059,4976.694988923349,-4940.496495347807
232,2003-12-07 16:02:20,1070834540.0,intc,0.033,32.1,42.22419140451928,1069.719971,4639.565666814356,-4597.341475409837
233,2007-03-20 13:50:31,1174416631.0,intc,0.055,19.041,-15.635799734160388,1410.939941,6151.395396544085,-6167.031196278245
234,2008-12-18 21:47:51,1229658471.0,intc,0.061,14.26,-36.81878599911387,885.2800289999999,3822.374962339388,-3859.193748338502
235,2005-12-19 20:15:44,1135044944.0,intc,0.019,26.1518,15.869738591050073,1259.920044,5482.277554275587,-5466.407815684537
236,2008-03-16 18:20:00,1205709600.0,intc,0.05,20.66,-8.462560921577316,1315.47998,5728.444749667701,-5736.9073105892785
237,2004-10-10 03:57:47,1097398667.0,intc,0.029,20.55,-8.949933540097472,1130.650024,4909.526025697829,-4918.475959237927
238,2004-12-24 22:39:09,1103949549.0,jci,0.513,62.47,0.0,1205.449951,1829.6461517528414,-1829.6461517528414
239,2005-12-11 21:15:37,1134357337.0,jci,0.386,70.68,13.142308307987847,1255.839966,1910.308893869057,-1897.1665855610693
240,2008-12-18 08:14:10,1229609650.0,jci,0.419,17.78,-71.53833840243317,885.2800289999999,1317.1282679686249,-1388.6666063710582
241,2004-12-17 09:50:00,1103298600.0,jci,0.513,61.67,-1.2806146950536212,1194.199951,1811.6375076036497,-1812.9181222987033
242,2005-02-05 01:20:11,1107588011.0,jci,0.499,59.48,-4.786297422762929,1193.189941,1810.020715543461,-1814.807012966224
243,2006-01-04 07:44:01,1136382241.0,jci,0.387,74.1,18.616936129342076,1273.459961,1938.5144245237716,-1919.8974883944295
244,2005-12-26 11:58:32,1135619912.0,jci,0.387,72.93,16.74403713782617,1268.660034,1930.8308532095407,-1914.0868160717146
245,2006-08-29 06:05:05,1156849505.0,jci,0.726,71.44,14.358892268288779,1304.280029,1987.8502145029615,-1973.4913222346727
246,2007-12-21 11:57:36,1198259856.0,jci,0.496,35.91,-42.516407875780374,1484.459961,2276.276550344165,-2318.7929582199454
247,2007-04-04 17:14:56,1175724896.0,jci,0.645,96.6,54.6342244277253,1439.369995,2204.0979590203297,-2149.4637345926044
248,2004-09-23 16:30:11,1095975011.0,jci,0.462,54.84,-12.213862654073948,1108.359985,1674.2276052505204,-1686.4414679045942
249,2004-04-23 21:23:45,1082773425.0,jci,0.541,58.67,-6.082919801504718,1140.599976,1725.836363054266,-1731.9192828557707
250,2003-10-27 11:00:35,1067274035.0,jci,0.546,104.5,67.28029454137987,1031.130005,1550.6002961421482,-1483.3200016007684
251,2004-11-02 14:00:23,1099425623.0,har,0.373,120.15,0.0,1130.560059,840.9571860174781,-840.9571860174781
252,2004-03-27 08:39:56,1080398396.0,har,0.621,75.5,-37.16188098210571,1091.329956,808.3062471910113,-845.468128173117
253,2006-05-27 08:16:23,1148735783.0,har,0.27,84.94,-29.305035372451112,1258.569946,947.4989146899708,-976.8039500624219
